arm,family,case,instrument,ordinary,request_cost
ordinary,created_title,O01,diverge,diverge,16
ordinary,created_title,O02,agree,agree,16
ordinary,created_title,O03,agree,agree,27
ordinary,created_title,O04,agree,agree,21
ordinary,ignored_close,O01,agree,agree,16
ordinary,ignored_close,O02,diverge,diverge,16
ordinary,ignored_close,O03,agree,agree,27
ordinary,ignored_close,O04,agree,agree,21
ordinary,remove_every_duplicate,O01,agree,agree,16
ordinary,remove_every_duplicate,O02,agree,agree,16
ordinary,remove_every_duplicate,O03,diverge,diverge,27
ordinary,remove_every_duplicate,O04,agree,agree,21
realitybridge,created_title,R01,agree,agree,27
realitybridge,created_title,R02,diverge,diverge,19
realitybridge,created_title,R03,agree,agree,23
realitybridge,created_title,R04,agree,agree,19
realitybridge,ignored_close,R01,agree,agree,27
realitybridge,ignored_close,R02,diverge,diverge,19
realitybridge,ignored_close,R03,agree,agree,23
realitybridge,ignored_close,R04,diverge,diverge,19
realitybridge,remove_every_duplicate,R01,diverge,diverge,27
realitybridge,remove_every_duplicate,R02,agree,agree,19
realitybridge,remove_every_duplicate,R03,agree,agree,23
realitybridge,remove_every_duplicate,R04,agree,agree,19
