case,exposed_case,current_simulator_vs_1_24_6,reference_1_24_7_to_1_24_6_normalized_delta,attribution
N01,yes,agree,none,none observed in declared contract
N02,yes,agree,none,none observed in declared contract
N03,yes,agree,none,none observed in declared contract
N04,yes,agree,none,none observed in declared contract
N05,yes,agree,none,none observed in declared contract
N06,yes,agree,none,none observed in declared contract
N07,yes,agree,none,none observed in declared contract
N08,yes,agree,none,none observed in declared contract
N09,yes,agree,none,none observed in declared contract
N10,yes,agree,none,none observed in declared contract
N11,yes,agree,none,none observed in declared contract
N12,yes,agree,none,none observed in declared contract
